Date;Time of day;Total[MWh]
Jan 1, 2015;12:00 AM;1,853
Jan 1, 2015;12:15 AM;1,826.25
Jan 1, 2015;12:30 AM;1,815.75
Jan 1, 2015;12:45 AM;1,776
Jan 1, 2015;1:00 AM;1,739.75
Jan 1, 2015;1:15 AM;1,711.25
Jan 1, 2015;1:30 AM;1,708.5
Jan 1, 2015;1:45 AM;1,709.75
Jan 1, 2015;2:00 AM;1,718.25
Jan 1, 2015;2:15 AM;1,735.75
Jan 1, 2015;2:30 AM;1,747.75
Jan 1, 2015;2:45 AM;1,753
Jan 1, 2015;3:00 AM;1,777.75
Jan 1, 2015;3:15 AM;1,782
Jan 1, 2015;3:30 AM;1,761
Jan 1, 2015;3:45 AM;1,773
Jan 1, 2015;4:00 AM;1,801.5
Jan 1, 2015;4:15 AM;1,835
Jan 1, 2015;4:30 AM;1,851
Jan 1, 2015;4:45 AM;1,877
Jan 1, 2015;5:00 AM;1,947.25
Jan 1, 2015;5:15 AM;1,994.25
Jan 1, 2015;5:30 AM;2,004.5
Jan 1, 2015;5:45 AM;2,046.25
Jan 1, 2015;6:00 AM;2,140.75
Jan 1, 2015;6:15 AM;2,232
Jan 1, 2015;6:30 AM;2,328
Jan 1, 2015;6:45 AM;2,403.75
Jan 1, 2015;7:00 AM;2,472.75
Jan 1, 2015;7:15 AM;2,545.75
Jan 1, 2015;7:30 AM;2,583.75
Jan 1, 2015;7:45 AM;2,615
Jan 1, 2015;8:00 AM;2,656.75
Jan 1, 2015;8:15 AM;2,678.75
Jan 1, 2015;8:30 AM;2,677.25
Jan 1, 2015;8:45 AM;2,672.5
Jan 1, 2015;9:00 AM;2,666
Jan 1, 2015;9:15 AM;2,657.5
Jan 1, 2015;9:30 AM;2,652.25
Jan 1, 2015;9:45 AM;2,644.5
Jan 1, 2015;10:00 AM;2,653.5
Jan 1, 2015;10:15 AM;2,677.75
Jan 1, 2015;10:30 AM;2,696.5
Jan 1, 2015;10:45 AM;2,718
Jan 1, 2015;11:00 AM;2,734
Jan 1, 2015;11:15 AM;2,735.5
Jan 1, 2015;11:30 AM;2,707.5
Jan 1, 2015;11:45 AM;2,679.5
Jan 1, 2015;12:00 PM;2,667
Jan 1, 2015;12:15 PM;2,657.25
Jan 1, 2015;12:30 PM;2,658.5
Jan 1, 2015;12:45 PM;2,652.75
Jan 1, 2015;1:00 PM;2,621.5
Jan 1, 2015;1:15 PM;2,564.25
Jan 1, 2015;1:30 PM;2,521.25
Jan 1, 2015;1:45 PM;2,489.25
Jan 1, 2015;2:00 PM;2,481.5
Jan 1, 2015;2:15 PM;2,505
Jan 1, 2015;2:30 PM;2,500.5
Jan 1, 2015;2:45 PM;2,525.5
Jan 1, 2015;3:00 PM;2,548.25
Jan 1, 2015;3:15 PM;2,548
Jan 1, 2015;3:30 PM;2,610
Jan 1, 2015;3:45 PM;2,667.25
Jan 1, 2015;4:00 PM;2,660.25
Jan 1, 2015;4:15 PM;2,655.75
Jan 1, 2015;4:30 PM;2,676
Jan 1, 2015;4:45 PM;2,679.75
Jan 1, 2015;5:00 PM;2,712.5
Jan 1, 2015;5:15 PM;2,760.25
Jan 1, 2015;5:30 PM;2,747.5
Jan 1, 2015;5:45 PM;2,716.75
Jan 1, 2015;6:00 PM;2,700
Jan 1, 2015;6:15 PM;2,671.75
Jan 1, 2015;6:30 PM;2,643.5
Jan 1, 2015;6:45 PM;2,664.5
Jan 1, 2015;7:00 PM;2,703.5
Jan 1, 2015;7:15 PM;2,699.5
Jan 1, 2015;7:30 PM;2,606.25
Jan 1, 2015;7:45 PM;2,501.5
Jan 1, 2015;8:00 PM;2,458.5
Jan 1, 2015;8:15 PM;2,419
Jan 1, 2015;8:30 PM;2,372.25
Jan 1, 2015;8:45 PM;2,284
Jan 1, 2015;9:00 PM;2,226.5
Jan 1, 2015;9:15 PM;2,227.75
Jan 1, 2015;9:30 PM;2,185.75
Jan 1, 2015;9:45 PM;2,181.25
Jan 1, 2015;10:00 PM;2,217.5
Jan 1, 2015;10:15 PM;2,169
Jan 1, 2015;10:30 PM;2,104.75
Jan 1, 2015;10:45 PM;2,067
Jan 1, 2015;11:00 PM;2,026.5
Jan 1, 2015;11:15 PM;1,974.5
Jan 1, 2015;11:30 PM;1,876.25
Jan 1, 2015;11:45 PM;1,807.75
Jan 2, 2015;12:00 AM;1,767
Jan 2, 2015;12:15 AM;1,732
Jan 2, 2015;12:30 AM;1,729.75
Jan 2, 2015;12:45 AM;1,718.5
Jan 2, 2015;1:00 AM;1,687.75
Jan 2, 2015;1:15 AM;1,658.75
Jan 2, 2015;1:30 AM;1,638.25
Jan 2, 2015;1:45 AM;1,642
Jan 2, 2015;2:00 AM;1,664.25
Jan 2, 2015;2:15 AM;1,671.75
Jan 2, 2015;2:30 AM;1,677
Jan 2, 2015;2:45 AM;1,675.75
Jan 2, 2015;3:00 AM;1,683.75
Jan 2, 2015;3:15 AM;1,680.5
Jan 2, 2015;3:30 AM;1,643.5
Jan 2, 2015;3:45 AM;1,647
Jan 2, 2015;4:00 AM;1,686.75
