Date;Time of day;Total[MWh]
Jan 1, 2015;12:00 AM;3,781.25
Jan 1, 2015;12:15 AM;3,760
Jan 1, 2015;12:30 AM;3,824.5
Jan 1, 2015;12:45 AM;3,880
Jan 1, 2015;1:00 AM;3,829
Jan 1, 2015;1:15 AM;3,813
Jan 1, 2015;1:30 AM;3,801
Jan 1, 2015;1:45 AM;3,758.5
Jan 1, 2015;2:00 AM;3,751.5
Jan 1, 2015;2:15 AM;3,724.25
Jan 1, 2015;2:30 AM;3,695
Jan 1, 2015;2:45 AM;3,655.25
Jan 1, 2015;3:00 AM;3,630.25
Jan 1, 2015;3:15 AM;3,612.25
Jan 1, 2015;3:30 AM;3,594.5
Jan 1, 2015;3:45 AM;3,568
Jan 1, 2015;4:00 AM;3,543
Jan 1, 2015;4:15 AM;3,513.25
Jan 1, 2015;4:30 AM;3,512.75
Jan 1, 2015;4:45 AM;3,514.25
Jan 1, 2015;5:00 AM;3,483
Jan 1, 2015;5:15 AM;3,466.25
Jan 1, 2015;5:30 AM;3,441.25
Jan 1, 2015;5:45 AM;3,419.75
Jan 1, 2015;6:00 AM;3,362.25
Jan 1, 2015;6:15 AM;3,347.25
Jan 1, 2015;6:30 AM;3,351.75
Jan 1, 2015;6:45 AM;3,335
Jan 1, 2015;7:00 AM;3,331.5
Jan 1, 2015;7:15 AM;3,309
Jan 1, 2015;7:30 AM;3,320.5
Jan 1, 2015;7:45 AM;3,350.5
Jan 1, 2015;8:00 AM;3,374
Jan 1, 2015;8:15 AM;3,362.25
Jan 1, 2015;8:30 AM;3,391.75
Jan 1, 2015;8:45 AM;3,455.25
Jan 1, 2015;9:00 AM;3,522.5
Jan 1, 2015;9:15 AM;3,584.75
Jan 1, 2015;9:30 AM;3,668.75
Jan 1, 2015;9:45 AM;3,772.25
Jan 1, 2015;10:00 AM;3,790.5
Jan 1, 2015;10:15 AM;3,831.25
Jan 1, 2015;10:30 AM;3,903.5
Jan 1, 2015;10:45 AM;3,962
Jan 1, 2015;11:00 AM;4,016.75
Jan 1, 2015;11:15 AM;4,036.75
Jan 1, 2015;11:30 AM;4,088.5
Jan 1, 2015;11:45 AM;4,155
Jan 1, 2015;12:00 PM;4,202.5
Jan 1, 2015;12:15 PM;4,283.25
Jan 1, 2015;12:30 PM;4,325.5
Jan 1, 2015;12:45 PM;4,294.5
Jan 1, 2015;1:00 PM;4,250.5
Jan 1, 2015;1:15 PM;4,221.75
Jan 1, 2015;1:30 PM;4,217
Jan 1, 2015;1:45 PM;4,224.75
Jan 1, 2015;2:00 PM;4,253.75
Jan 1, 2015;2:15 PM;4,268.25
Jan 1, 2015;2:30 PM;4,282.5
Jan 1, 2015;2:45 PM;4,229.25
Jan 1, 2015;3:00 PM;4,264.75
Jan 1, 2015;3:15 PM;4,276.75
Jan 1, 2015;3:30 PM;4,276
Jan 1, 2015;3:45 PM;4,281.75
Jan 1, 2015;4:00 PM;4,272
Jan 1, 2015;4:15 PM;4,311.5
Jan 1, 2015;4:30 PM;4,429.25
Jan 1, 2015;4:45 PM;4,549.25
Jan 1, 2015;5:00 PM;4,689
Jan 1, 2015;5:15 PM;4,771.25
Jan 1, 2015;5:30 PM;4,818.25
Jan 1, 2015;5:45 PM;4,797.75
Jan 1, 2015;6:00 PM;4,797.5
Jan 1, 2015;6:15 PM;4,816.5
Jan 1, 2015;6:30 PM;4,821.75
Jan 1, 2015;6:45 PM;4,784.5
Jan 1, 2015;7:00 PM;4,817.75
Jan 1, 2015;7:15 PM;4,849
Jan 1, 2015;7:30 PM;4,819.5
Jan 1, 2015;7:45 PM;4,775.75
Jan 1, 2015;8:00 PM;4,756.25
Jan 1, 2015;8:15 PM;4,669.25
Jan 1, 2015;8:30 PM;4,583.75
Jan 1, 2015;8:45 PM;4,535
Jan 1, 2015;9:00 PM;4,560
Jan 1, 2015;9:15 PM;4,544
Jan 1, 2015;9:30 PM;4,544
Jan 1, 2015;9:45 PM;4,629.75
Jan 1, 2015;10:00 PM;4,683.25
Jan 1, 2015;10:15 PM;4,591.25
Jan 1, 2015;10:30 PM;4,559.25
Jan 1, 2015;10:45 PM;4,484.5
Jan 1, 2015;11:00 PM;4,440
Jan 1, 2015;11:15 PM;4,358.75
Jan 1, 2015;11:30 PM;4,295
Jan 1, 2015;11:45 PM;4,274.25
Jan 2, 2015;12:00 AM;4,004
Jan 2, 2015;12:15 AM;4,142.75
Jan 2, 2015;12:30 AM;3,989
Jan 2, 2015;12:45 AM;3,938.75
Jan 2, 2015;1:00 AM;3,948.25
Jan 2, 2015;1:15 AM;3,907.75
Jan 2, 2015;1:30 AM;3,880
Jan 2, 2015;1:45 AM;3,855.25
Jan 2, 2015;2:00 AM;3,858.25
Jan 2, 2015;2:15 AM;3,849
Jan 2, 2015;2:30 AM;3,837.25
Jan 2, 2015;2:45 AM;3,817.5
Jan 2, 2015;3:00 AM;3,846.5
Jan 2, 2015;3:15 AM;3,872.5
Jan 2, 2015;3:30 AM;3,867
Jan 2, 2015;3:45 AM;3,855.75
Jan 2, 2015;4:00 AM;3,880.75
Jan 2, 2015;4:15 AM;3,883.75
Jan 2, 2015;4:30 AM;3,897.75
Jan 2, 2015;4:45 AM;3,910.5
Jan 2, 2015;5:00 AM;3,955.5
Jan 2, 2015;5:15 AM;3,954.25
Jan 2, 2015;5:30 AM;3,980
Jan 2, 2015;5:45 AM;4,044
Jan 2, 2015;6:00 AM;4,094
Jan 2, 2015;6:15 AM;4,172.75
Jan 2, 2015;6:30 AM;4,286
Jan 2, 2015;6:45 AM;4,398.5
Jan 2, 2015;7:00 AM;4,512
Jan 2, 2015;7:15 AM;4,553.25
Jan 2, 2015;7:30 AM;4,680.25
Jan 2, 2015;7:45 AM;4,813.5
Jan 2, 2015;8:00 AM;4,939.75
Jan 2, 2015;8:15 AM;5,069
Jan 2, 2015;8:30 AM;5,120.5
Jan 2, 2015;8:45 AM;5,202.25
Jan 2, 2015;9:00 AM;5,296.75
Jan 2, 2015;9:15 AM;5,347.25
Jan 2, 2015;9:30 AM;5,404.75
Jan 2, 2015;9:45 AM;5,437.25
Jan 2, 2015;10:00 AM;5,504.5
Jan 2, 2015;10:15 AM;5,542.75
Jan 2, 2015;10:30 AM;5,592.25
Jan 2, 2015;10:45 AM;5,564.5
Jan 2, 2015;11:00 AM;5,627.25
Jan 2, 2015;11:15 AM;5,662.5
Jan 2, 2015;11:30 AM;5,689.75
Jan 2, 2015;11:45 AM;5,739
Jan 2, 2015;12:00 PM;5,721.75
Jan 2, 2015;12:15 PM;5,678
Jan 2, 2015;12:30 PM;5,680.75
Jan 2, 2015;12:45 PM;5,644
Jan 2, 2015;1:00 PM;5,628.5
Jan 2, 2015;1:15 PM;5,605.75
Jan 2, 2015;1:30 PM;5,580.75
Jan 2, 2015;1:45 PM;5,565.75
Jan 2, 2015;2:00 PM;5,507
Jan 2, 2015;2:15 PM;5,493.5
Jan 2, 2015;2:30 PM;5,480.5
Jan 2, 2015;2:45 PM;5,445.5
Jan 2, 2015;3:00 PM;5,406.5
Jan 2, 2015;3:15 PM;5,384.75
Jan 2, 2015;3:30 PM;5,382.25
Jan 2, 2015;3:45 PM;5,340
