Date;Time of day;Total[MWh]
Jan 1, 2015;12:00 AM;3,592.25
Jan 1, 2015;12:15 AM;3,555.75
Jan 1, 2015;12:30 AM;3,509
Jan 1, 2015;12:45 AM;3,453.25
Jan 1, 2015;1:00 AM;3,392.5
Jan 1, 2015;1:15 AM;3,335.5
Jan 1, 2015;1:30 AM;3,282.25
Jan 1, 2015;1:45 AM;3,257.25
Jan 1, 2015;2:00 AM;3,220.75
Jan 1, 2015;2:15 AM;3,178.25
Jan 1, 2015;2:30 AM;3,141.75
Jan 1, 2015;2:45 AM;3,101.25
Jan 1, 2015;3:00 AM;3,074
Jan 1, 2015;3:15 AM;3,051.75
Jan 1, 2015;3:30 AM;2,997.75
Jan 1, 2015;3:45 AM;3,009
Jan 1, 2015;4:00 AM;3,022
Jan 1, 2015;4:15 AM;3,001.25
Jan 1, 2015;4:30 AM;2,934.25
Jan 1, 2015;4:45 AM;2,882.75
Jan 1, 2015;5:00 AM;2,929
Jan 1, 2015;5:15 AM;2,865.5
Jan 1, 2015;5:30 AM;2,847.5
Jan 1, 2015;5:45 AM;2,797.75
Jan 1, 2015;6:00 AM;2,719.75
Jan 1, 2015;6:15 AM;2,717
Jan 1, 2015;6:30 AM;2,748.75
Jan 1, 2015;6:45 AM;2,769.25
Jan 1, 2015;7:00 AM;2,768.5
Jan 1, 2015;7:15 AM;2,776.25
Jan 1, 2015;7:30 AM;2,814.5
Jan 1, 2015;7:45 AM;2,844.5
Jan 1, 2015;8:00 AM;2,840.75
Jan 1, 2015;8:15 AM;2,846.75
Jan 1, 2015;8:30 AM;2,814.25
Jan 1, 2015;8:45 AM;2,826.25
Jan 1, 2015;9:00 AM;2,886.5
Jan 1, 2015;9:15 AM;2,939
Jan 1, 2015;9:30 AM;2,981
Jan 1, 2015;9:45 AM;3,002.5
Jan 1, 2015;10:00 AM;3,074
Jan 1, 2015;10:15 AM;3,161
Jan 1, 2015;10:30 AM;3,234.25
Jan 1, 2015;10:45 AM;3,262.5
Jan 1, 2015;11:00 AM;3,382
Jan 1, 2015;11:15 AM;3,476.25
Jan 1, 2015;11:30 AM;3,537.5
Jan 1, 2015;11:45 AM;3,570.25
Jan 1, 2015;12:00 PM;3,597.5
Jan 1, 2015;12:15 PM;3,627.5
Jan 1, 2015;12:30 PM;3,599.25
Jan 1, 2015;12:45 PM;3,587.75
Jan 1, 2015;1:00 PM;3,592.75
Jan 1, 2015;1:15 PM;3,589.75
Jan 1, 2015;1:30 PM;3,535.75
Jan 1, 2015;1:45 PM;3,527.25
Jan 1, 2015;2:00 PM;3,443
Jan 1, 2015;2:15 PM;3,438
Jan 1, 2015;2:30 PM;3,421
Jan 1, 2015;2:45 PM;3,404.75
Jan 1, 2015;3:00 PM;3,381.25
Jan 1, 2015;3:15 PM;3,390
Jan 1, 2015;3:30 PM;3,406.25
Jan 1, 2015;3:45 PM;3,457.25
Jan 1, 2015;4:00 PM;3,502.75
Jan 1, 2015;4:15 PM;3,574.75
Jan 1, 2015;4:30 PM;3,680.5
Jan 1, 2015;4:45 PM;3,777.25
Jan 1, 2015;5:00 PM;3,844.75
Jan 1, 2015;5:15 PM;3,900.75
Jan 1, 2015;5:30 PM;3,911.75
Jan 1, 2015;5:45 PM;3,914.75
Jan 1, 2015;6:00 PM;3,889.25
Jan 1, 2015;6:15 PM;3,843.5
Jan 1, 2015;6:30 PM;3,789.25
Jan 1, 2015;6:45 PM;3,726
Jan 1, 2015;7:00 PM;3,645.75
Jan 1, 2015;7:15 PM;3,615.75
Jan 1, 2015;7:30 PM;3,545.5
Jan 1, 2015;7:45 PM;3,465.75
Jan 1, 2015;8:00 PM;3,397
Jan 1, 2015;8:15 PM;3,339.75
Jan 1, 2015;8:30 PM;3,260
Jan 1, 2015;8:45 PM;3,175.75
Jan 1, 2015;9:00 PM;3,148.25
Jan 1, 2015;9:15 PM;3,102.5
Jan 1, 2015;9:30 PM;3,012.5
Jan 1, 2015;9:45 PM;2,986.25
Jan 1, 2015;10:00 PM;4,241.5
Jan 1, 2015;10:15 PM;4,210.25
Jan 1, 2015;10:30 PM;4,113.75
Jan 1, 2015;10:45 PM;4,065.25
Jan 1, 2015;11:00 PM;4,039.5
Jan 1, 2015;11:15 PM;3,967
Jan 1, 2015;11:30 PM;3,911.25
Jan 1, 2015;11:45 PM;3,872.25
Jan 2, 2015;12:00 AM;3,821.25
Jan 2, 2015;12:15 AM;3,738.75
Jan 2, 2015;12:30 AM;3,689
Jan 2, 2015;12:45 AM;3,702
Jan 2, 2015;1:00 AM;3,640.75
Jan 2, 2015;1:15 AM;3,604.5
Jan 2, 2015;1:30 AM;3,588.75
Jan 2, 2015;1:45 AM;3,566.5
Jan 2, 2015;2:00 AM;3,504
