Date;Time of day;Total[MWh]
Jan 1, 2015;12:00 AM;1,379.75
Jan 1, 2015;12:15 AM;1,363.25
Jan 1, 2015;12:30 AM;1,367.5
Jan 1, 2015;12:45 AM;1,359.5
Jan 1, 2015;1:00 AM;1,346.5
Jan 1, 2015;1:15 AM;1,342.5
Jan 1, 2015;1:30 AM;1,323.5
Jan 1, 2015;1:45 AM;1,314.5
Jan 1, 2015;2:00 AM;1,299.25
Jan 1, 2015;2:15 AM;1,279.25
Jan 1, 2015;2:30 AM;1,261.25
Jan 1, 2015;2:45 AM;1,247.5
Jan 1, 2015;3:00 AM;1,236.5
Jan 1, 2015;3:15 AM;1,221.5
Jan 1, 2015;3:30 AM;1,227.75
Jan 1, 2015;3:45 AM;1,219.75
Jan 1, 2015;4:00 AM;1,211
Jan 1, 2015;4:15 AM;1,200.75
Jan 1, 2015;4:30 AM;1,230.5
Jan 1, 2015;4:45 AM;1,222.75
Jan 1, 2015;5:00 AM;1,204.75
Jan 1, 2015;5:15 AM;1,184.25
Jan 1, 2015;5:30 AM;1,163
Jan 1, 2015;5:45 AM;1,133.25
Jan 1, 2015;6:00 AM;1,119.75
Jan 1, 2015;6:15 AM;1,118
Jan 1, 2015;6:30 AM;1,116.75
Jan 1, 2015;6:45 AM;1,111.5
Jan 1, 2015;7:00 AM;1,113.25
Jan 1, 2015;7:15 AM;1,104.5
Jan 1, 2015;7:30 AM;1,096.5
Jan 1, 2015;7:45 AM;1,096.25
Jan 1, 2015;8:00 AM;1,078.25
Jan 1, 2015;8:15 AM;1,071.5
Jan 1, 2015;8:30 AM;1,070.75
Jan 1, 2015;8:45 AM;1,074
Jan 1, 2015;9:00 AM;1,122.25
Jan 1, 2015;9:15 AM;1,148.75
Jan 1, 2015;9:30 AM;1,173.75
Jan 1, 2015;9:45 AM;1,195.75
Jan 1, 2015;10:00 AM;1,210
Jan 1, 2015;10:15 AM;1,218
Jan 1, 2015;10:30 AM;1,226.5
Jan 1, 2015;10:45 AM;1,238.5
Jan 1, 2015;11:00 AM;1,246.5
Jan 1, 2015;11:15 AM;1,266
Jan 1, 2015;11:30 AM;1,283.25
Jan 1, 2015;11:45 AM;1,292.5
Jan 1, 2015;12:00 PM;1,338
Jan 1, 2015;12:15 PM;1,358
Jan 1, 2015;12:30 PM;1,354.5
