Date;Time of day;Biomass[MWh];Hydropower[MWh];Wind offshore[MWh];Wind onshore[MWh];Photovoltaics[MWh];Other renewable[MWh];Nuclear[MWh];Fossil brown coal[MWh];Fossil hard coal[MWh];Fossil gas[MWh];Hydro pumped storage[MWh];Other conventional[MWh]
Jan 1, 2015;12:00 AM;1,005.5;288.25;130;2,028.25;0;14.5;2,685.5;3,976.25;686;263;192.5;1,521.75
Jan 1, 2015;12:15 AM;1,007;287.75;129.25;2,023;0;14.5;2,646.25;3,963.25;721.25;261.75;149.75;1,498
Jan 1, 2015;12:30 AM;1,006.5;292.75;128.5;2,040.25;0;14.5;2,660.75;3,924.75;695.75;260.5;173.25;1,503.25
Jan 1, 2015;12:45 AM;1,005.25;289.5;128.75;2,036.5;0;14.5;2,718;3,871.75;664.75;241.5;95;1,518.75
Jan 1, 2015;1:00 AM;998.75;295.25;128.75;2,045.75;0;14.5;2,772.25;3,899;520.5;202.25;67.5;1,491.75
Jan 1, 2015;1:15 AM;995;300.75;129.25;2,075.25;0;14.5;2,775.25;3,891.25;465;109.75;106.5;1,444
Jan 1, 2015;1:30 AM;994.5;299.75;129.25;2,074.25;0;14.5;2,774.25;3,820.5;464.75;100.75;124.5;1,429.25
Jan 1, 2015;1:45 AM;994.25;292.25;129;2,102.25;0;14.5;2,764.5;3,754;465.5;100.5;111.25;1,476
Jan 1, 2015;2:00 AM;1,001;293.25;129;2,134.5;0;14.5;2,774;3,774.5;449.25;101;167;1,480.25
Jan 1, 2015;2:15 AM;1,005.75;284.25;129;2,133.75;0;14.5;2,763.25;3,737;447.75;101;174.5;1,473.5
Jan 1, 2015;2:30 AM;1,006;280.25;128.25;2,128.75;0;14.5;2,749.75;3,697.25;449;100.75;143.25;1,468.75
Jan 1, 2015;2:45 AM;1,006.75;281.5;127.75;2,143;0;14.5;2,739.25;3,644;463.75;100.25;149.75;1,485.5
Jan 1, 2015;3:00 AM;1,008;284.25;128.5;2,149.5;0;14.5;2,759.25;3,574;483.5;101;136.5;1,537
Jan 1, 2015;3:15 AM;1,010.5;280.25;129.75;2,125.25;0;14.5;2,755.25;3,526.25;488.25;101;139.25;1,517.5
Jan 1, 2015;3:30 AM;1,011.75;279.25;129.75;2,121.5;0;14.5;2,760.75;3,505;487.75;101.25;137.5;1,496
Jan 1, 2015;3:45 AM;1,010.25;278.75;129.75;2,155.75;0;14.5;2,752.5;3,505.75;485;101.25;145;1,449.5
Jan 1, 2015;4:00 AM;1,008.75;279.25;129.75;2,184;0;14.5;2,766.5;3,540.25;469.5;101.25;142.25;1,476
Jan 1, 2015;4:15 AM;1,009.75;278.25;129.75;2,181;0;14.5;2,751;3,547.75;514.25;101.25;141.25;1,480.75
Jan 1, 2015;4:30 AM;1,010.5;277.5;130.25;2,149.75;0;14.5;2,736.25;3,536.5;512.5;101.25;153.75;1,505.5
